,title,year,budget_2013$,intgross_2013$
368,Morning Glory,2010,42729274,64137680.0
369,Nanny McPhee and the Big Bang,2010,37388114,104472930.0
370,Never Let Me Go,2010,16023478,12294827.0
371,Paranormal Activity 2,2010,3204696,189624005.0
372,Percy Jackson &amp; the Olympians: The Lightning Thief,2010,101482025,241919399.0
373,Please Give,2010,3204696,4882010.0
374,Predators,2010,42729274,135915826.0
375,Prince of Persia: The Sands of Time,2010,213646368,357921415.0
376,Rabbit Hole,2010,5341159,6238038.0
377,Ramona and Beezus,2010,16023478,29343924.0
378,Red,2010,64093910,209843135.0
379,Remember Me,2010,17091709,60361637.0
380,Repo Men,2010,34183419,19436733.0
381,Robin Hood,2010,224328687,344460978.0
382,Salt,2010,138870139,315890541.0
383,Scott Pilgrim vs. the World,2010,90799707,51371013.0
384,Secretariat,2010,37388114,64495830.0
385,Sex and the city 2,2010,101482025,314787390.0
386,Shrek Forever After,2010,176258254,807844640.0
387,Shutter Island,2010,85458547,317084404.0
388,Skyline,2010,10682318,84062765.0
389,Somewhere,2010,7477623,15367204.0
390,Submarine,2010,2029641,4894571.0
391,Super,2010,2670580,553731.0
392,Takers,2010,34183419,75403567.0
393,Tangled,2010,277740279,626605502.0
394,The A-Team,2010,117505503,189334662.0
395,The Back-up Plan,2010,37388114,80417752.0
396,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,165575935,446720616.0
397,The Conspirator,2010,26705796,16992803.0
398,The Crazies,2010,20296405,58705899.0
399,The Debt,2010,21364637,49783934.0
400,The Expendables,2010,87595011,286572606.0
401,The Fighter,2010,11750550,138082199.0
402,The Ghost Writer,2010,48070433,70003894.0
403,The Illusionist,2010,17625825,89509349.0
404,The Karate Kid,2010,42729274,383593100.0
405,The Kids Are All Right,2010,4272927,38750611.0
406,The Killer Inside Me,2010,13887014,3864090.0
407,The King&#39;s Speech,2010,16023478,460216888.0
408,The Last Airbender,2010,160234776,341528548.0
409,The Last Exorcism,2010,1922817,74953449.0
410,The Losers,2010,26705796,28536765.0
