,dbn,name,num_test_takers,boro,total_students,graduation_rate,attendance_rate,college_career_rate,reading_avg,math_avg,writing_score
299,26Q495,BAYSIDE HIGH SCHOOL,708.0,Q,3024,0.97,0.93,0.84,462.0,523.0,464.0
300,26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175.0,Q,1073,0.91,0.91,0.79,425.0,434.0,420.0
301,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87.0,Q,349,0.47,0.83,0.34,387.0,385.0,373.0
302,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74.0,Q,888,0.93,0.89,0.73,432.0,419.0,401.0
303,27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44.0,Q,443,0.81,0.84,0.31,391.0,401.0,364.0
304,27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93.0,Q,621,0.93,0.92,0.65,423.0,426.0,416.0
305,27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36.0,Q,639,0.73,0.86,0.32,367.0,379.0,348.0
306,27Q323,SCHOLARS' ACADEMY,89.0,Q,1376,1.0,0.95,0.98,499.0,537.0,496.0
307,27Q400,AUGUST MARTIN HIGH SCHOOL,101.0,Q,334,0.63,0.82,0.24,377.0,371.0,360.0
308,27Q475,RICHMOND HILL HIGH SCHOOL,404.0,Q,1681,0.69,0.87,0.42,382.0,404.0,368.0
309,27Q480,JOHN ADAMS HIGH SCHOOL,403.0,Q,2281,0.71,0.86,0.45,391.0,409.0,392.0
310,27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194.0,Q,1027,0.98,0.94,0.82,429.0,491.0,425.0
311,28Q284,YORK EARLY COLLEGE ACADEMY,,Q,646,0.99,0.95,0.94,nan,nan,nan
312,28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68.0,Q,671,0.88,0.89,0.63,420.0,445.0,400.0
313,28Q325,HILLSIDE ARTS & LETTERS ACADEMY,,Q,467,0.84,0.85,0.53,nan,nan,nan
314,28Q350,JAMAICA GATEWAY TO THE SCIENCES,25.0,Q,511,0.83,0.88,0.73,430.0,452.0,425.0
315,28Q440,FOREST HILLS HIGH SCHOOL,762.0,Q,3783,0.88,0.9,0.73,456.0,497.0,454.0
316,28Q505,HILLCREST HIGH SCHOOL,462.0,Q,3367,0.73,0.87,0.59,395.0,413.0,386.0
317,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422.0,Q,2133,0.89,0.93,0.73,452.0,478.0,442.0
318,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99.0,Q,690,0.96,0.95,0.92,513.0,523.0,502.0
319,28Q686,QUEENS METROPOLITAN HIGH SCHOOL,,Q,1091,0.86,0.92,0.71,nan,nan,nan
320,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121.0,Q,473,1.0,0.97,0.91,612.0,660.0,596.0
